,smiles,idx,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,predict_al,predict_solv,sascore,scscore,spatial,capacity,ranker_al
597,[H][B-]([H])(C)O,597,3.0,3.0,2.0,0.0,1.0,44.870000000000005,38.822,20.23,-0.8894000000000002,16.6268,20.0,0.0773722940757863,-0.6099610016573705,2.0,2.0,2.0,7.694444444444445,-0.5,0.4468678720962566,0.9710025084292988,0.2390692966986971,0.8679126439020309,15.854436247281903,57.55764487941299,66.31732500248036,1.247816930898675,0.4824276701709168,0.0547425736472229,0.4598810008280337,0.0,8.0,0.0,0.0773722940757862,0.1111111111111111,0.6666666666666667,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,2.720136077456272,-0.0837078382812517,6.634941654019599,1.3609894377349079,18.0,0.0,0.17986392254372774
598,[H][B-]([H])(C)C(C)CC,598,6.0,6.0,1.0,2.0,0.0,84.979,70.86699999999999,0.0,1.4217,34.12299999999999,38.0,-0.0327869863412091,-0.1956188455318902,1.6666666666666667,2.1666666666666665,2.1666666666666665,2.355324074074074,0.4375,0.3213595290498917,0.9458682924306748,0.3245507254255941,0.7819501134211446,97.94761825021187,235.98822988193584,301.7944825782469,1.9340409271040884,0.3226317037893905,0.0079833499516406,0.6247848291070794,0.0,1.0,0.0,-0.0327869863412091,0.25,0.7000000000000001,0.0,0.0,0.0,0.0,0.05,0.0,2.9357813312897,-0.0742387821875004,5.386645926897827,2.309453256132155,87.0,0.0,0.03578133128970018
599,[H][B-]([H])(C)C1CCCC1,599,7.0,7.0,1.0,1.0,0.0,96.99,82.87799999999999,0.0,1.5658,36.626,42.0,-0.0324478650766286,-0.1956063937347526,1.2857142857142858,1.8571428571428568,2.142857142857143,2.426574074074074,0.4930555555555556,0.4219168994058375,0.96713495575012,0.254263598193319,0.8670705391785849,90.77470334781842,309.5530446939027,357.01022086064216,1.975906490430525,0.3668737266307365,0.0095518961472808,0.6651790074978929,0.0,1.0,0.0,-0.0324478650766286,0.2857142857142857,0.6666666666666667,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,2.742559218688464,-0.0722472837499974,4.488173586524079,1.637515503497375,165.0,0.0,0.15744078131153572
600,[H][B-]([H])(CC)CC,600,5.0,5.0,1.0,2.0,0.0,70.952,58.856,0.0,1.0316,29.505999999999982,32.0,-0.0331606116489428,-0.1869174287771113,1.2,1.6,1.6,2.267361111111111,0.5277777777777778,0.7044859340326376,0.9937492144596208,0.1116355622590151,0.9670918510796987,30.410271601597465,263.44226929040553,272.4066685044325,1.9976082380183129,0.2817302279100728,0.0318014868051654,0.5897516520614096,0.0,1.0,0.0,-0.0331606116489428,0.2352941176470588,0.7058823529411765,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,2.7522134562530134,-0.0763048843749987,5.45891595625286,1.5997243565872026,42.0,0.0,0.14778654374698652
601,[H][B-]([H])(O)CC,601,4.0,4.0,2.0,1.0,1.0,58.89699999999999,50.833,20.23,-0.4993000000000001,21.2438,26.0,0.0799423377787195,-0.6097007757123541,2.0,2.25,2.25,8.0,-0.4861111111111111,0.6306035126391559,0.9896078215209776,0.1437927661063128,0.9290186469259446,20.92581770493651,135.19786409620792,145.5276108219871,1.6002616977411996,0.3843312482460249,0.044395810955898,0.4993360711380817,0.0,8.0,0.0,0.0799423377787194,0.1666666666666666,0.6666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0,2.6708004670959644,-0.0833254562499987,5.6517384310833645,1.3333205654266091,30.0,0.0,0.2291995329040355
602,[H][B-]([H])(CC)C(C)CC,602,7.0,7.0,1.0,3.0,0.0,99.006,82.87799999999999,0.0,1.8118,38.74,44.0,-0.0299907778219661,-0.1866568931090335,1.4285714285714286,2.0,2.142857142857143,2.364583333333333,0.4513888888888889,0.4608738996413635,0.9729565311123528,0.230988286642023,0.8331697140950369,111.56937889031758,402.4283173105951,483.00881621423343,2.243898676388603,0.2419465963334795,0.0074677274569585,0.5773016041792275,0.0,1.0,0.0,-0.0299907778219661,0.2608695652173913,0.6956521739130432,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,2.859518852391094,-0.0721843862304645,5.193388195904975,2.2208509996431216,99.0,0.0,0.040481147608905754
603,[H][B-]([H])(CC)C1CCCC1,603,8.0,8.0,1.0,2.0,0.0,111.017,94.88899999999998,0.0,1.9559,41.24300000000001,48.0,-0.0296497525918652,-0.1866444003438345,1.375,2.0,2.5,2.3455555555555554,0.5069444444444444,0.5844585725098149,0.9861440668729629,0.1658911672490542,0.9247722038780448,95.90054408439217,534.6044577098032,578.0931298193568,2.3330885257772644,0.2925075138753932,0.0096430339651071,0.6951147574904746,0.0,1.0,0.0,-0.0296497525918652,0.2916666666666666,0.6666666666666665,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,2.634339658426648,-0.0699670281249999,4.407717694863416,2.0003216164557456,177.0,0.0,0.26566034157335183
604,[H][B-]([H])(O)O,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733125060693073,-0.0820675907421116,6.758633961711906,1.3244159362078491,18.0,0.0,0.8331250606930731
605,[H][B-]([H])(O)C(C)CC,605,6.0,6.0,2.0,2.0,1.0,86.951,74.85499999999999,20.23,0.2808999999999999,30.477799999999988,38.0,0.0828204280225214,-0.6094278052273212,1.8333333333333333,2.333333333333333,2.333333333333333,8.45976851851852,-0.5625,0.0908442681053453,0.8077453153055515,0.5895315984762268,0.7734914736274447,127.96345570176707,167.89370099423334,217.05953681281304,1.7173986952004916,0.5996961987360155,0.0060446278930615,0.8485299850839709,0.0,8.0,0.0,0.0828204280225214,0.2222222222222222,0.6666666666666669,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.0,2.514680333747493,-0.0815345624999989,5.436122849974751,2.1977412128141367,87.0,0.0,0.3853196662525069
606,[H][B-]([H])(O)C1CCCC1,606,7.0,7.0,2.0,1.0,1.0,98.962,86.86599999999999,20.23,0.425,32.98079999999999,42.0,0.0831109914540307,-0.6094170611449525,1.2857142857142858,1.8571428571428568,2.142857142857143,8.691018518518518,-0.5069444444444444,0.3993784302589756,0.9633197092383076,0.2683563634293444,0.8417297853571266,90.5075419755205,283.8870407495077,337.266241123998,1.8962137866408864,0.4439404531210839,0.0093001065655367,0.6349822727855666,0.0,8.0,0.0,0.0831109914540306,0.2631578947368421,0.631578947368421,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,2.6508284002539986,-0.0815104976562523,4.525281278831772,1.9895214639414687,165.0,0.0,0.24917159974600134
