R1,mean,var,num,difference
*F,3.9486507896813903,0.23827968075232095,217,-215.7130695295663
*C(=C)c1ccccc1,4.055633063684478,0.0,1,0.1556330636844785
*C(=O)C1=CCOCC1,3.7013286619712953,0.0,1,-0.19867133802870462
*C1CCOCC1,3.6959353459056223,0.0,1,-0.20406465409437757
*C#CCCCCC,3.5130451501985416,0.8800437764863985,3,-1.50691107331506
*COCC=C,3.74228738715856,0.0,1,-0.1577126128414399
*C1(C)CC1,4.213043333160849,0.0,1,0.3130433331608491
*c1ccc(C=O)o1,4.291719895835554,0.0,1,0.3917198958355539
*C#CC(C)C,4.261327389751177,0.0,1,0.36132738975117684
*CCC(O)CO,3.894029504586014,0.0,1,-0.005970495413985866
*CC=C,2.659424536282874,0.22199975891082305,3,-2.5374247773720513
*n1nc(C)cc1C,3.77629902056857,0.0,1,-0.1237009794314301
*c1pcccc1C,2.858120975798636,0.0,1,-0.9581209757986362
*CC(C)C,2.820457901422757,0.14716544581988258,8,-7.773292455602874
*N(O)c1ccccc1,2.4705015546464693,0.0,1,-0.5705015546464693
*c1ccc(C#N)cc1,4.937799430996513,0.0,1,1.0377994309965133
*c1ccc(N)cc1,3.354850282949174,0.0,1,-0.5451497170508257
*C1=CCOCC1,4.04678661035137,0.0,1,0.14678661035137042
*C#CC(C)(C)C,3.4989772666724948,1.2190519412806455,4,-2.18197079204686
*C(=O)c1ccccc1,3.7599013805276464,0.0,1,-0.14009861947235347
*C1(C)CCCC(=O)C1,3.648067625017496,0.0,1,-0.25193237498250376
*COCC1CCCC1,3.604360539979208,0.0,1,-0.2956394600207921
*C1CCC(=O)CC1,3.8125610436859385,0.0,1,-0.0874389563140614
*n1cccn1,4.401316867390964,0.0,1,0.501316867390964
*CCOC(C)=O,3.789804079910648,0.0,1,-0.11019592008935186
*OCC,3.5663358930150073,0.9383784589072715,4,-2.395285648077721
*c1cnc(OC)nc1,4.967108920041767,0.0,1,1.067108920041767
*CCC(N)=O,3.909613521273106,0.0,1,0.009613521273105885
*c1cccc(F)c1,4.524310052335565,0.0,1,0.6243100523355651
*C=C(C)c1ccccc1,3.892396815568023,0.0,1,-0.007603184431976828
*C#CCCC,2.899335488934043,0.022532930878078717,3,-2.9768025580559643
*c1ccccc1OC,3.925586662175725,0.0,1,0.025586662175725028
*C(=O)c1cccs1,3.8125692071282296,0.0,1,-0.08743079287177036
*CC,2.9600127436388872,0.15587326967439574,15,-14.784113986686718
*CC=COC(C)=O,3.431989396793782,0.0,1,-0.4680106032062179
*[H],3.601614716528786,0.8167627772716014,19,-17.481622506199614
*c1cccc(OC)c1,3.977206846663056,0.0,1,0.077206846663056
*CC=Cc1ccccc1,3.570182916514091,0.0,1,-0.3298170834859091
*c1ccccc1O,3.981032781261437,0.0,1,0.08103278126143687
*CCc1cccs1,4.113408485771581,0.0,1,0.213408485771581
