index,smiles,al,solv,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,idx
3322,C(#C[B-](C1CCCC1)(C1CCCC1)C1CCCC1)c1ccccc1,2.6736298377987398,-0.0545720000000073,24.0,24.0,1.0,3.0,0.0,319.3209999999999,287.065,0.0,6.858700000000007,105.72800000000005,128.0,0.08008683300500764,-0.3085209970476514,0.625,1.0416666666666667,1.4583333333333333,4.0878703703703705,-0.5101303854875283,0.1764449932944873,0.8826749734525525,0.469983926576788,0.9563500386525876,1685.5037799059387,3429.7590064471333,3586.300902208735,3.6912198567673555,0.6387644355948405,0.0005673971485877995,1.510539368811704,0.2608695652173913,6.0,0.5,-0.114011403731752,0.4107142857142856,0.5714285714285714,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,293
3324,CCCCCC[B-](C)(CCCCCC)CCCCCC,2.577132474476018,-0.0503047999999353,20.0,20.0,1.0,15.0,0.0,281.35699999999997,239.02099999999993,0.0,7.805900000000008,98.46500000000009,122.0,-0.0023347981565879587,-0.18997116463741914,0.45,0.75,1.0,2.6426955782312924,-0.04830782312925175,0.20949548428976977,0.8757411844038469,0.4827808798398582,0.5871976220177622,2602.1272448061836,3164.9201410889723,5389.872203864676,4.452749785300093,0.15920309951559972,0.00022566061025255466,0.9085542315189358,0.0,6.0,0.0,-0.0187617930047568,0.30645161290322565,0.6774193548387092,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,294
3325,c1cc([B-](C2CCCC2)(C2CCCC2)C2CCCC2)cs1,2.4443485977090567,-0.0503421999999318,21.0,21.0,2.0,4.0,1.0,301.3279999999999,271.0879999999999,0.0,6.236500000000006,96.36100000000006,116.0,0.03817099412258578,-0.19836241326293805,0.7142857142857143,1.1428571428571428,1.4761904761904763,2.5644444444444447,-0.2743055555555556,0.03616050815136051,0.6946397410855812,0.719357790049261,0.9234922349577707,1584.559869872705,2034.2154570299863,2202.7423512911364,3.108016873621806,0.6708983692603891,0.0005828067796718587,1.3070415301858855,0.21052631578947367,6.0,0.6666666666666666,-0.0868349039825709,0.372549019607843,0.588235294117647,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,295
3327,CCCC[B-](CCCC)(CCCC)c1ccoc1,2.59877648857808,-0.0525840000000243,18.0,18.0,2.0,10.0,1.0,249.22699999999998,218.98699999999994,13.14,5.335700000000005,83.24100000000006,104.0,0.08688638046395973,-0.4760442814389184,0.8888888888888888,1.3888888888888888,1.7222222222222223,5.376048516628874,-0.3630555555555557,0.078311788998859,0.794889191710024,0.606754623305488,0.8550908409120521,1260.542876156036,1776.4655209479513,2077.5167221451557,3.20324469243619,0.4546614434201973,0.0006783512541196614,1.0929309993215661,0.25,8.0,1.0,0.05512708687960183,0.33333333333333326,0.625,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,296
3329,CCCCCC#C[B-](CCCC)(CCCC)CCCC,2.933747131164768,-0.0574493000000302,20.0,20.0,1.0,12.0,0.0,277.32499999999993,239.02099999999993,0.0,6.958400000000007,96.81700000000008,118.0,0.07084724516541095,-0.31465385942454366,0.6,1.05,1.45,3.809092970521542,-0.3880513038548754,0.21958908190497647,0.9099197840525679,0.41478426511829997,0.9014804731825541,1625.140452835464,3532.034620436686,3918.0378560694926,4.045003512963788,0.4544059184530583,0.0005547092693494252,1.3939983107041605,0.0,6.0,0.5,-0.15017065429122353,0.3275862068965517,0.6551724137931035,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,297
3332,CCCC[B-](CCCC)(CCCC)c1cccs1,2.925668041663713,-0.0519526000000496,18.0,18.0,2.0,10.0,1.0,265.29499999999996,235.05499999999995,0.0,5.804200000000006,88.85200000000006,104.0,0.039441281374002754,-0.1916799811470487,0.8888888888888888,1.3888888888888888,1.7222222222222223,2.40837962962963,-0.2507870370370371,0.018862931319443083,0.60647312358932,0.7951039871386719,0.8566468990254525,1749.925595482741,1885.3739374270176,2200.876393262937,3.3165355518699777,0.7237119110351519,0.0004895333271521951,1.407775906523141,0.25,16.0,1.0,-0.15820752508722408,0.33333333333333326,0.625,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,298
3336,CCCCCC[B-](CCCCCC)(CCCCCC)c1ccoc1,2.9239836508290837,-0.0498522999999977,24.0,24.0,2.0,16.0,1.0,333.38899999999995,291.053,13.14,7.676300000000008,110.94300000000008,140.0,0.086886380463994,-0.47604428143888283,0.6666666666666666,1.125,1.4583333333333333,5.518560090702948,-0.4059467120181408,0.19708566604875202,0.8996238781123842,0.43666563630543903,0.7770551217356816,2454.5306998905044,4367.885844979248,5621.075935028714,4.319967840788801,0.23389044590271685,0.0003165799155701518,1.0311480695417299,0.18181818181818182,8.0,1.0,0.05512708689847888,0.33333333333333315,0.6363636363636359,0.015151515151515152,0.0,0.0,0.0,0.015151515151515152,0.0,299
3338,CCC#C[B-](OC)(C1CCCCC1)C1CCCCC1,2.151667321863889,-0.0652425000000676,19.0,19.0,2.0,3.0,1.0,261.2379999999999,230.99799999999993,9.23,5.199500000000005,84.50000000000007,108.0,0.1908885322529895,-0.5820586681682253,0.8947368421052632,1.368421052631579,1.736842105263158,6.207870370370371,-0.9029166666666666,0.07925874505565292,0.7880823774985957,0.615569789931378,0.7671281134270143,1307.9380283479777,1629.9630822979211,2124.7599374455704,3.1128360895943867,0.5213059565883396,0.000586517171915212,1.1963170572477448,0.0,8.0,0.5,-0.01176580901248292,0.34693877551020413,0.612244897959184,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,300
3339,CCCCC#C[B-](OC)(C1CCCCC1)C1CCCCC1,2.3686544136386103,-0.0649247999999715,21.0,21.0,2.0,5.0,1.0,289.29200000000003,255.01999999999992,9.23,5.9797000000000065,93.73400000000008,120.0,0.19088876366507845,-0.5820586671536458,0.9047619047619048,1.4285714285714286,1.8571428571428572,6.286013085789872,-0.9172137188208618,0.16042620098434232,0.8729295765272858,0.4878462405552527,0.7282747401651941,1573.5554518686963,2349.0612258093383,3225.5151747766267,3.51490075966805,0.32755783410465467,0.00046282114767568053,1.0870850762777458,0.0,8.0,0.5,-0.011765809009264518,0.3454545454545455,0.6181818181818183,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,301
3346,CCCCC#C[B-](OC)(C(C)C(C)C)C(C)C(C)C,2.088093132611008,-0.0602575999999999,19.0,19.0,2.0,7.0,1.0,265.27,230.99799999999993,9.23,5.403300000000006,88.58800000000008,112.0,0.19085180172481292,-0.5820589709352312,0.9473684210526315,1.4210526315789473,1.736842105263158,6.053235308012094,-1.0762877928949357,0.30021796085307695,0.9407013252106234,0.3392359308018193,0.8310278447080727,1005.5482257091725,2463.2961867747963,2964.1560177085457,3.4821519922946087,0.29900850216695557,0.0008264425548779446,1.0353043327547622,0.0,8.0,0.5,-0.011765810336343026,0.32075471698113206,0.6415094339622641,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,302
3347,CCCCC#C[B-](OC(C)C)(OC(C)C)c1ccccc1,3.118118538634431,-0.0762323999999807,21.0,21.0,3.0,7.0,2.0,287.23199999999997,259.0079999999999,18.46,3.918600000000003,91.57300000000006,116.0,0.34358288106707646,-0.5522455294832996,1.0,1.5714285714285714,2.0476190476190474,6.181707530234316,-1.755176681783825,0.08850350777778108,0.8089683277730693,0.5878522302926511,0.8165199715816557,1600.8109506731596,2223.507957604481,2723.151955851603,3.376022857017909,0.5630120756559588,0.0005100664580276013,1.4084422709933677,0.3333333333333333,8.0,0.5,0.008163081665577485,0.3673469387755103,0.5714285714285717,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612,0.0,303
